PropertySetName,PropertyName,IFCType,Description,DataType,Unit,EnumerationReference,Mandatory/ Optional,ISO22057GUID,Specification,PropertyForDependance,PropertyDependsOn
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,ReleasedSubstanceToAirSoilWater,IfcPropertySingleValue,"Description of type of substance spilling, leaking, etc.",IfcText,unitless,,O,0nKQY2lZ19DvujGZbHIPc4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/releasedSubstanceToAirSoilWater,,"BasisForCalculationOrEstimation, LocationOfEmission, ReleasedAmount"
,ReleasedAmount,IfcPropertySingleValue,"Amount of spilling, leaking, pumping, etc.",IfcReal,kg/(FU/DU),,O,3b_DO_z69FqfPvPxtbhIW4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/releasedAmount,ReleasedSubstanceToAirSoilWater,
,LocationOfEmission,IfcPropertyEnumeratedValue,Location where emissions arise,,unitless,PEnum_LocationOfEmission,O,33ZXV6lyHC3805IXkao8W9,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/locationOfEmission,ReleasedSubstanceToAirSoilWater,
,BasisForCalculationOrEstimation,IfcPropertySingleValue,"As a general rule, specific data derived from specific production processes shall be the first choice as a basis for calculating an EPD",IfcText,unitless,,O,1dQB2okDv2086xDJkHeY3j,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/basisForCalculationOrEstimation,ReleasedSubstanceToAirSoilWater,
LCAPset_ScenarioB2,,IfcPropertySet,Document reference: EN ISO 22057 8.4.5 Table 20 and Table 21.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioMaintenanceProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioB3B4B5,,IfcPropertySet,Document reference: EN ISO 22057 8.4.6 Table 22 and Table 23.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioRepairProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioReplacementProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioRefurbishmentProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioB6B7,,IfcPropertySet,"Document reference: EN ISO 22057 8.4.7. 
For energy using products, the information may include the energy type and energy consumption per unit of time, the power output, energy efficiency, emissions, variation of performance with capacity utilization, or scenario information such as frequency and period of use. 
For water using products, the information may include the type of water used, the amount of water used per unit of time, the amount of wastewater generated per unit of time, and the fate of the wastewater, e.g. evaporation, discharge to sewer.",,,,,,,,
LCAPset_ScenarioC1,,IfcPropertySet,Document reference: EN ISO 22057 8.4.8 Table 24.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioDemolitionDeconstructionProcess,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioC2,,IfcPropertySet,Document reference: EN ISO 22057 8.4.9 Table 14 and Table 15.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,GeographicalInformation,IfcPropertySingleValue,The location where the scenario is relevant,IfcLabel,unitless,,O,0tGDTqPAnBmxcd18vL80Cv,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/geographicalinformation,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioTransport,IfcComplexProperty,,,,,O,,,,
LCAPset_ScenarioC3,,IfcPropertySet,Document reference: EN ISO 22057 8.4.10 Table 25.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
